kode_desa_kelurahan,kode_kecamatan,kode_kabupaten_kota,kode_provinsi,nama_desa_kelurahan
11.01.01.2001,11.01.01,11.01,11,Keude Bakongan
11.01.01.2002,11.01.01,11.01,11,Ujong Mangki
11.01.01.2003,11.01.01,11.01,11,Ujong Padang
11.01.01.2004,11.01.01,11.01,11,Gampong Drien
11.01.01.2015,11.01.01,11.01,11,Darul Ikhsan
11.01.01.2016,11.01.01,11.01,11,Padang Beurahan
11.01.01.2017,11.01.01,11.01,11,Gampong Baro
11.01.02.2001,11.01.02,11.01,11,Fajar Harapan
11.01.02.2002,11.01.02,11.01,11,Krueng Batee
11.01.02.2003,11.01.02,11.01,11,Pasi Kuala Asahan
11.01.02.2004,11.01.02,11.01,11,Gunong Pulo
11.01.02.2005,11.01.02,11.01,11,Pulo Ie I
11.01.02.2006,11.01.02,11.01,11,Jambo Manyang
11.01.02.2007,11.01.02,11.01,11,Simpang Empat
11.01.02.2008,11.01.02,11.01,11,Limau Purut
11.01.02.2009,11.01.02,11.01,11,Pulo Kambing
11.01.02.2010,11.01.02,11.01,11,Kampung Paya
11.01.02.2011,11.01.02,11.01,11,Krueng Batu
11.01.02.2012,11.01.02,11.01,11,Krueng Kluet
11.01.02.2013,11.01.02,11.01,11,Alur Mas
11.01.02.2014,11.01.02,11.01,11,Kampung Tinggi
11.01.02.2015,11.01.02,11.01,11,Ruak
11.01.02.2016,11.01.02,11.01,11,Simpang Lhee
11.01.02.2017,11.01.02,11.01,11,Suaq Geuringgeng
11.01.02.2019,11.01.02,11.01,11,Kedai Padang
11.01.02.2020,11.01.02,11.01,11,Kotafajar
11.01.02.2021,11.01.02,11.01,11,Gunung Pudung
11.01.03.2001,11.01.03,11.01,11,Suaq Bakung
11.01.03.2002,11.01.03,11.01,11,Rantau Binuang
11.01.03.2003,11.01.03,11.01,11,Barat Daya
11.01.03.2004,11.01.03,11.01,11,Sialang
11.01.03.2005,11.01.03,11.01,11,Kapeh
11.01.03.2006,11.01.03,11.01,11,Pulo Ie
11.01.03.2007,11.01.03,11.01,11,Kedai Runding
11.01.03.2008,11.01.03,11.01,11,Kedai Kandang
11.01.03.2009,11.01.03,11.01,11,Gampong Luar
11.01.03.2010,11.01.03,11.01,11,Ujung
11.01.03.2011,11.01.03,11.01,11,Jua
11.01.03.2012,11.01.03,11.01,11,Pasi Meurapat
11.01.03.2013,11.01.03,11.01,11,Ujung Pasir
11.01.03.2014,11.01.03,11.01,11,Geulumbuk
11.01.03.2015,11.01.03,11.01,11,Pasie Lembang
11.01.03.2016,11.01.03,11.01,11,Ujung Padang
11.01.03.2017,11.01.03,11.01,11,Indra Damai
11.01.04.2001,11.01.04,11.01,11,Bakau Hulu
11.01.04.2002,11.01.04,11.01,11,Padang Bakau
11.01.04.2003,11.01.04,11.01,11,Manggis Harapan
11.01.04.2004,11.01.04,11.01,11,Pasar Lama
11.01.04.2005,11.01.04,11.01,11,Apha
11.01.04.2006,11.01.04,11.01,11,Ujung Batu
11.01.04.2007,11.01.04,11.01,11,Pawoh
11.01.04.2008,11.01.04,11.01,11,Dalam
11.01.04.2009,11.01.04,11.01,11,Kota Palak
11.01.04.2010,11.01.04,11.01,11,Cacang
11.01.04.2011,11.01.04,11.01,11,Tengah Pisang
11.01.04.2012,11.01.04,11.01,11,Pisang
11.01.04.2013,11.01.04,11.01,11,Hulu Pisang
11.01.04.2014,11.01.04,11.01,11,Tengah Baru
11.01.04.2015,11.01.04,11.01,11,Lembah Baru
11.01.04.2016,11.01.04,11.01,11,Padang Baru
11.01.05.2001,11.01.05,11.01,11,Kuta Buloh II
11.01.05.2002,11.01.05,11.01,11,Kuta Buloh I
11.01.05.2003,11.01.05,11.01,11,Ie Dingen
11.01.05.2004,11.01.05,11.01,11,Drien Jalo
11.01.05.2005,11.01.05,11.01,11,Jambo Papeun
11.01.05.2006,11.01.05,11.01,11,Buket Meuh
11.01.05.2007,11.01.05,11.01,11,Blang Kuala
11.01.05.2008,11.01.05,11.01,11,Rot Teungoh
11.01.05.2009,11.01.05,11.01,11,Alue Baro
11.01.05.2010,11.01.05,11.01,11,Ladang Tuha
11.01.05.2011,11.01.05,11.01,11,Lhok Mamplam
11.01.05.2012,11.01.05,11.01,11,Arun Tunggai
11.01.05.2013,11.01.05,11.01,11,Blang Teungoh
11.01.05.2014,11.01.05,11.01,11,Blang Bladeh
11.01.05.2015,11.01.05,11.01,11,Ie Buboh
11.01.05.2016,11.01.05,11.01,11,Keude Meukek
11.01.05.2017,11.01.05,11.01,11,Kuta Baro
11.01.05.2018,11.01.05,11.01,11,Tanjung Harapan
11.01.05.2019,11.01.05,11.01,11,Labuhan Tarok
11.01.05.2020,11.01.05,11.01,11,Lhok Aman
11.01.05.2021,11.01.05,11.01,11,Alue Meutuah
11.01.05.2022,11.01.05,11.01,11,Ladang Baro
11.01.05.2023,11.01.05,11.01,11,Labuhan Tarok II
11.01.06.2001,11.01.06,11.01,11,Dalam
11.01.06.2002,11.01.06,11.01,11,Subarang
11.01.06.2003,11.01.06,11.01,11,Kuta Baru
11.01.06.2004,11.01.06,11.01,11,Gunung Ketek
11.01.06.2005,11.01.06,11.01,11,Ladang Panton Luas
11.01.06.2006,11.01.06,11.01,11,Madat
11.01.06.2007,11.01.06,11.01,11,Alur Seumerah
11.01.06.2008,11.01.06,11.01,11,Tengah
11.01.06.2009,11.01.06,11.01,11,Gunung Cut
11.01.06.2010,11.01.06,11.01,11,Alur Pinang
11.01.06.2011,11.01.06,11.01,11,Kuta Blang
11.01.06.2012,11.01.06,11.01,11,Batee Tunggai
11.01.06.2013,11.01.06,11.01,11,Ujung Tanah
11.01.06.2014,11.01.06,11.01,11,Ujung Kampung
11.01.06.2015,11.01.06,11.01,11,Jilatang
11.01.06.2016,11.01.06,11.01,11,Luar
11.01.06.2017,11.01.06,11.01,11,Lubuk Layu
11.01.06.2018,11.01.06,11.01,11,Suaq Hulu
11.01.06.2019,11.01.06,11.01,11,Tampang
11.01.06.2020,11.01.06,11.01,11,Payonan Gadang
11.01.06.2021,11.01.06,11.01,11,Gadang
11.01.06.2022,11.01.06,11.01,11,Baru
11.01.06.2023,11.01.06,11.01,11,Ladang Kasik Putih
11.01.06.2024,11.01.06,11.01,11,Air Sialang Hilir
11.01.06.2025,11.01.06,11.01,11,Air Sialang Hulu
11.01.06.2026,11.01.06,11.01,11,Air Sialang Tengah
11.01.06.2027,11.01.06,11.01,11,Balai
11.01.06.2028,11.01.06,11.01,11,Arafah
11.01.07.2001,11.01.07,11.01,11,Sikulat
11.01.07.2002,11.01.07,11.01,11,Sawang I
11.01.07.2003,11.01.07,11.01,11,Meuligo
11.01.07.2004,11.01.07,11.01,11,Lhok Pawoh
11.01.07.2005,11.01.07,11.01,11,Sawang II
11.01.07.2006,11.01.07,11.01,11,Ujung Karang
11.01.07.2007,11.01.07,11.01,11,Trieng Meuduro Baroh
11.01.07.2008,11.01.07,11.01,11,Trieng Meuduro Tunong
11.01.07.2009,11.01.07,11.01,11,Panton Luas
11.01.07.2010,11.01.07,11.01,11,Simpang Tiga
11.01.07.2011,11.01.07,11.01,11,Kuta Baro
11.01.07.2012,11.01.07,11.01,11,Blang Geulinggang
11.01.07.2013,11.01.07,11.01,11,Mutiara
11.01.07.2014,11.01.07,11.01,11,Ujung Padang
11.01.08.2001,11.01.08,11.01,11,Lhok Keutapang
11.01.08.2002,11.01.08,11.01,11,Hilir
11.01.08.2003,11.01.08,11.01,11,Padang
11.01.08.2004,11.01.08,11.01,11,Hulu
11.01.08.2005,11.01.08,11.01,11,Jambo Apha
11.01.08.2006,11.01.08,11.01,11,Tepi Air
11.01.08.2007,11.01.08,11.01,11,Pasar
11.01.08.2008,11.01.08,11.01,11,Lhok Bengkuang
11.01.08.2009,11.01.08,11.01,11,Panton Luas
11.01.08.2010,11.01.08,11.01,11,Gunung Kerambil
11.01.08.2011,11.01.08,11.01,11,Air Berudang
11.01.08.2012,11.01.08,11.01,11,Batu Itam
11.01.08.2013,11.01.08,11.01,11,Panjupian
11.01.08.2014,11.01.08,11.01,11,Lhok Rukam
11.01.08.2015,11.01.08,11.01,11,Air Pinang
11.01.08.2016,11.01.08,11.01,11,Lhok Bengkuang Timur
11.01.09.2001,11.01.09,11.01,11,Keude Trumon
11.01.09.2002,11.01.09,11.01,11,Ujong Tanoh
11.01.09.2003,11.01.09,11.01,11,Sigleng
11.01.09.2004,11.01.09,11.01,11,Ie Meudama
11.01.09.2005,11.01.09,11.01,11,Teupin Tinggi
11.01.09.2006,11.01.09,11.01,11,Kuta Baro
11.01.09.2007,11.01.09,11.01,11,Panton Bilie
11.01.09.2012,11.01.09,11.01,11,Kuta Padang
11.01.09.2013,11.01.09,11.01,11,Raket
11.01.09.2014,11.01.09,11.01,11,Gampong Teungoh
11.01.09.2015,11.01.09,11.01,11,Seuneubok Jaya
11.01.09.2016,11.01.09,11.01,11,Padang Harapan
11.01.10.2001,11.01.10,11.01,11,Ladang Teungoh
11.01.10.2002,11.01.10,11.01,11,Pucok Krueng
11.01.10.2003,11.01.10,11.01,11,Silolo
11.01.10.2004,11.01.10,11.01,11,Kampung Baru
11.01.10.2005,11.01.10,11.01,11,Panton Bili
11.01.10.2006,11.01.10,11.01,11,Paya Ateuk
11.01.10.2007,11.01.10,11.01,11,Ladang Tuha
11.01.10.2008,11.01.10,11.01,11,Mata Ie
11.01.10.2009,11.01.10,11.01,11,Ujong Batee
11.01.10.2010,11.01.10,11.01,11,Lhok Sialang Cut
11.01.10.2011,11.01.10,11.01,11,Seuneubok
11.01.10.2012,11.01.10,11.01,11,Ie Mirah
11.01.10.2013,11.01.10,11.01,11,Pasie Rasian
11.01.10.2014,11.01.10,11.01,11,Ujung Padang Rasian
11.01.10.2015,11.01.10,11.01,11,Krueng Kalee
11.01.10.2016,11.01.10,11.01,11,Lhok Sialang Rayeuk
11.01.10.2017,11.01.10,11.01,11,Gampong Baro
11.01.10.2018,11.01.10,11.01,11,Teupin Gajah
11.01.10.2019,11.01.10,11.01,11,Ujung Padang Asahan
11.01.10.2020,11.01.10,11.01,11,Pulo Ie II
11.01.10.2021,11.01.10,11.01,11,Pante Raja
11.01.11.2001,11.01.11,11.01,11,Tengah Peulumat
11.01.11.2002,11.01.11,11.01,11,Paya Peulumat
11.01.11.2003,11.01.11,11.01,11,Padang Peulumat
11.01.11.2004,11.01.11,11.01,11,Aur Peulumat
11.01.11.2005,11.01.11,11.01,11,Limau Saring
11.01.11.2006,11.01.11,11.01,11,Beutong
11.01.11.2007,11.01.11,11.01,11,Peuneulop
11.01.11.2008,11.01.11,11.01,11,Gunung Rotan
11.01.11.2009,11.01.11,11.01,11,Keumumu Hilir
11.01.11.2010,11.01.11,11.01,11,Keumumu Hulu
11.01.11.2011,11.01.11,11.01,11,Keumumu Seberang
11.01.11.2012,11.01.11,11.01,11,Sawang Indah
11.01.12.2001,11.01.12,11.01,11,Tutong
11.01.12.2002,11.01.12,11.01,11,Teungoh Iboh
11.01.12.2003,11.01.12,11.01,11,Peulokan
11.01.12.2004,11.01.12,11.01,11,Kuta Iboh
11.01.12.2005,11.01.12,11.01,11,Ujung Padang
11.01.12.2006,11.01.12,11.01,11,Blang Baru
11.01.12.2007,11.01.12,11.01,11,Blang Poroh
11.01.12.2008,11.01.12,11.01,11,Pulo Ie
11.01.12.2009,11.01.12,11.01,11,Suak Lokan
11.01.12.2010,11.01.12,11.01,11,Iku Lhueng
11.01.12.2011,11.01.12,11.01,11,Kuta Trieng
11.01.12.2012,11.01.12,11.01,11,Pante Geulima
11.01.12.2013,11.01.12,11.01,11,Panton Pawoh
11.01.12.2014,11.01.12,11.01,11,Batee Meucanang
11.01.12.2015,11.01.12,11.01,11,Panton Rubek
11.01.13.2001,11.01.13,11.01,11,Koto
11.01.13.2002,11.01.13,11.01,11,Alur Keujrun
11.01.13.2003,11.01.13,11.01,11,Jambo Papan
11.01.13.2004,11.01.13,11.01,11,Malaka
11.01.13.2005,11.01.13,11.01,11,Koto Indarung
11.01.13.2006,11.01.13,11.01,11,Siurai-Urai
11.01.13.2007,11.01.13,11.01,11,Kampung Sawah
11.01.13.2008,11.01.13,11.01,11,Kampung Padang
11.01.13.2009,11.01.13,11.01,11,Pulo Air
11.01.13.2010,11.01.13,11.01,11,Lawe Melang
11.01.13.2011,11.01.13,11.01,11,Mersak
11.01.13.2012,11.01.13,11.01,11,Simpang Dua
11.01.13.2013,11.01.13,11.01,11,Simpang Tiga
11.01.14.2001,11.01.14,11.01,11,Paya Dapur
11.01.14.2002,11.01.14,11.01,11,Sapik
11.01.14.2003,11.01.14,11.01,11,Alai
11.01.14.2004,11.01.14,11.01,11,Durian Kawan
11.01.14.2005,11.01.14,11.01,11,Lawe Sawah
11.01.14.2006,11.01.14,11.01,11,Lawe Buluh Didi
11.01.14.2007,11.01.14,11.01,11,Pucuk Lembang
11.01.14.2008,11.01.14,11.01,11,Paya Laba
11.01.14.2009,11.01.14,11.01,11,Lawe Cimanok
11.01.15.2001,11.01.15,11.01,11,Pasie Seubadeh
11.01.15.2002,11.01.15,11.01,11,Ladang Rimba
11.01.15.2003,11.01.15,11.01,11,Ujong Pulo Rayeuk
11.01.15.2004,11.01.15,11.01,11,Sawah Tingkeum
11.01.15.2005,11.01.15,11.01,11,Simpang
11.01.15.2006,11.01.15,11.01,11,Ujong Pulo Cut
11.01.15.2008,11.01.15,11.01,11,Seuleukat
11.01.16.2005,11.01.16,11.01,11,Pinto Rimba
11.01.16.2006,11.01.16,11.01,11,Krueng Luas
11.01.16.2007,11.01.16,11.01,11,Jambo Dalem
11.01.16.2008,11.01.16,11.01,11,Kapa Sesak
11.01.16.2009,11.01.16,11.01,11,Seuneubok Punto
11.01.16.2010,11.01.16,11.01,11,Seuneubok Pusaka
11.01.16.2011,11.01.16,11.01,11,Alur Bujok
11.01.16.2012,11.01.16,11.01,11,Titi Poben
11.01.17.2001,11.01.17,11.01,11,Buket Gadeng
11.01.17.2002,11.01.17,11.01,11,Rambong
11.01.17.2003,11.01.17,11.01,11,Seuneubok Keuranji
11.01.17.2004,11.01.17,11.01,11,Seuneubok Alur Buloh
11.01.17.2005,11.01.17,11.01,11,Ujong Tanoh
11.01.17.2006,11.01.17,11.01,11,Ujong Gunong Cut
11.01.17.2007,11.01.17,11.01,11,Ujong Gunung Rayeuk
11.01.17.2008,11.01.17,11.01,11,Beutong
11.01.17.2009,11.01.17,11.01,11,Jambo Keupok
11.01.17.2010,11.01.17,11.01,11,Alurduamas
11.01.18.2001,11.01.18,11.01,11,Ladang Rimba
11.01.18.2002,11.01.18,11.01,11,Gunong Kapho
11.01.18.2003,11.01.18,11.01,11,Kampong Teungoh
11.01.18.2004,11.01.18,11.01,11,Krueng Batee
11.01.18.2005,11.01.18,11.01,11,Pulo Paya
11.01.18.2006,11.01.18,11.01,11,Jambo Papeun
11.01.18.2007,11.01.18,11.01,11,Cot Bayu
11.01.18.2008,11.01.18,11.01,11,Naca
11.01.18.2009,11.01.18,11.01,11,Ie Jeureuneh
11.01.18.2010,11.01.18,11.01,11,Lhok Raya
11.02.01.2001,11.02.01,11.02,11,Engkeran
11.02.01.2002,11.02.01,11.02,11,Rumah Kampung
11.02.01.2004,11.02.01,11.02,11,Pasir Bangun
11.02.01.2006,11.02.01,11.02,11,Kubu
11.02.01.2007,11.02.01,11.02,11,Lawe Kongker
11.02.01.2008,11.02.01,11.02,11,Kuta Cingkam II
11.02.01.2009,11.02.01,11.02,11,Muara Baru
11.02.01.2011,11.02.01,11.02,11,Kuta Batu I
11.02.01.2012,11.02.01,11.02,11,Kuta Cingkam I
11.02.01.2013,11.02.01,11.02,11,Kuta Batu II
11.02.01.2014,11.02.01,11.02,11,Lawe Sempilang
11.02.01.2015,11.02.01,11.02,11,Prapat Batu Nunggul
11.02.01.2016,11.02.01,11.02,11,Pulo Sepang
11.02.01.2017,11.02.01,11.02,11,Rih Mbelang
11.02.01.2018,11.02.01,11.02,11,Kute Batu Baru
11.02.01.2019,11.02.01,11.02,11,Darul Amin
11.02.01.2020,11.02.01,11.02,11,Lawe Lubang Indah
11.02.01.2021,11.02.01,11.02,11,Batu Hamparan
11.02.01.2022,11.02.01,11.02,11,Paye Munje
11.02.01.2023,11.02.01,11.02,11,Pulo Ndadap
11.02.01.2024,11.02.01,11.02,11,Pasir Nunggul
11.02.01.2025,11.02.01,11.02,11,Cingkham Mekhanggun
11.02.01.2026,11.02.01,11.02,11,Pintu Khimbe
11.02.01.2027,11.02.01,11.02,11,Lawe Kongker Hilir
11.02.01.2028,11.02.01,11.02,11,Pulo Gadung
11.02.01.2029,11.02.01,11.02,11,Pasikh Pehkmate
11.02.01.2030,11.02.01,11.02,11,Pasikh Nunang
11.02.01.2031,11.02.01,11.02,11,Deleng Kukusen
11.02.02.2001,11.02.02,11.02,11,Bukit Merdeka
11.02.02.2002,11.02.02,11.02,11,Darul Aman
11.02.02.2003,11.02.02,11.02,11,Lawe Kesumpat
11.02.02.2004,11.02.02,11.02,11,Lawe Tua Gabungan
11.02.02.2005,11.02.02,11.02,11,Lawe Sigala II
11.02.02.2006,11.02.02,11.02,11,Lawe Sigala Timur
11.02.02.2007,11.02.02,11.02,11,Lawe Sigala Barat
11.02.02.2008,11.02.02,11.02,11,Suka Damai
11.02.02.2009,11.02.02,11.02,11,Kute Tengah
11.02.02.2010,11.02.02,11.02,11,Tanah Baru
11.02.02.2011,11.02.02,11.02,11,Kedataran Gabungan
11.02.02.2012,11.02.02,11.02,11,Gabungan Parsaroan
11.02.02.2013,11.02.02,11.02,11,Lawe Loning Gabungan
11.02.02.2014,11.02.02,11.02,11,Lawe Loning Aman
11.02.02.2015,11.02.02,11.02,11,Suka Maju
11.02.02.2016,11.02.02,11.02,11,Lawe Tua Makmur
11.02.02.2017,11.02.02,11.02,11,Lawe Tua Persatuan
11.02.02.2018,11.02.02,11.02,11,Lawe Serke
11.02.02.2019,11.02.02,11.02,11,Lawe Rakat
11.02.02.2020,11.02.02,11.02,11,Suka Jaya
11.02.02.2021,11.02.02,11.02,11,Enmiya Batu Dua Ratus
11.02.02.2022,11.02.02,11.02,11,Sebungke
11.02.02.2023,11.02.02,11.02,11,Bukit Sepakat
11.02.02.2024,11.02.02,11.02,11,Lawe Loning Sepakat
