kode_kabupaten_kota,kode_provinsi,nama_kabupaten_kota,luas
11.01,11,Kabupaten Aceh Selatan,4174.211
11.02,11,Kabupaten Aceh Tenggara,4179.123
11.03,11,Kabupaten Aceh Timur,5409.158
11.04,11,Kabupaten Aceh Tengah,4468.417
11.05,11,Kabupaten Aceh Barat,2782.606
11.06,11,Kabupaten Aceh Besar,2891.227
11.07,11,Kabupaten Pidie,3177.063
11.08,11,Kabupaten Aceh Utara,2705.045
11.09,11,Kabupaten Simeulue,1828.851
11.1,11,Kabupaten Aceh Singkil,1851.615
11.11,11,Kabupaten Bireuen,1796.959
11.12,11,Kabupaten Aceh Barat Daya,1882.054
11.13,11,Kabupaten Gayo Lues,5541.285
11.14,11,Kabupaten Aceh Jaya,3870.566
11.15,11,Kabupaten Nagan Raya,3523.283
11.16,11,Kabupaten Aceh Tamiang,2187.817
11.17,11,Kabupaten Bener Meriah,1907.399
11.18,11,Kabupaten Pidie Jaya,938.868
11.71,11,Kota Banda Aceh,56.835
11.72,11,Kota Sabang,121.867
11.73,11,Kota Lhokseumawe,132.966
11.74,11,Kota Langsa,224.203
11.75,11,Kota Subulussalam,1183.601
12.01,12,Kabupaten Tapanuli Tengah,2307.716
12.02,12,Kabupaten Tapanuli Utara,3895.604
12.03,12,Kabupaten Tapanuli Selatan,4201.354
12.04,12,Kabupaten Nias,902.599
12.05,12,Kabupaten Langkat,6142.072
12.06,12,Kabupaten Karo,2206.876
12.07,12,Kabupaten Deli Serdang,2581.482
12.08,12,Kabupaten Simalungun,4601.477
12.09,12,Kabupaten Asahan,3738.42
12.1,12,Kabupaten Labuhanbatu,2772.346
12.11,12,Kabupaten Dairi,2083.604
12.12,12,Kabupaten Toba,2291.616
12.13,12,Kabupaten Mandailing Natal,6546.567
12.14,12,Kabupaten Nias Selatan,2531.59
12.15,12,Kabupaten Pakpak Bharat,1365.607
12.16,12,Kabupaten Humbang Hasundutan,2351.514
12.17,12,Kabupaten Samosir,1850.035
12.18,12,Kabupaten Serdang Bedagai,1949.978
12.19,12,Kabupaten Batu Bara,888.676
12.2,12,Kabupaten Padang Lawas Utara,3914.413
12.21,12,Kabupaten Padang Lawas,3914.413
12.22,12,Kabupaten Labuhanbatu Selatan,3079.61
12.23,12,Kabupaten Labuhanbatu Utara,3687.179
12.24,12,Kabupaten Nias Utara,1239.502
12.25,12,Kabupaten Nias Barat,464.65
12.71,12,Kota Medan,279.239
12.72,12,Kota Pematangsiantar,75.919
12.73,12,Kota Sibolga,12.645
12.74,12,Kota Tanjungbalai,60.072
12.75,12,Kota Binjai,93.77
12.76,12,Kota Tebing Tinggi,39.17
12.77,12,Kota Padangsidimpuan,159.298
12.78,12,Kota Gunungsitoli,208.742
13.01,13,Kabupaten Pesisir Selatan,6045.676
13.02,13,Kabupaten Solok,3590.404
13.03,13,Kabupaten Sijunjung,3150.58
13.04,13,Kabupaten Tanah Datar,1377.186
13.05,13,Kabupaten Padang Pariaman,1341.879
13.06,13,Kabupaten Agam,2225.34
13.07,13,Kabupaten Lima Puluh Kota,3273.405
13.08,13,Kabupaten Pasaman,3902.444
13.09,13,Kabupaten Kepulauan Mentawai,5973.917
13.10,13,Kabupaten Dharmasraya,2920.925
13.11,13,Kabupaten Solok Selatan,3282.144
13.12,13,Kabupaten Pasaman Barat,3851.883
13.71,13,Kota Padang,694.315
13.72,13,Kota Solok,58.72
13.73,13,Kota Sawahlunto,231.945
13.74,13,Kota Padang Panjang,23.56
13.75,13,Kota Bukittinggi,24.173
13.76,13,Kota Payakumbuh,74.552
13.77,13,Kota Pariaman,64.626
14.01,14,Kabupaten Kampar,10352.803
14.02,14,Kabupaten Indragiri Hulu,7871.85
14.03,14,Kabupaten Bengkalis,8604.179
14.04,14,Kabupaten Indragiri Hilir,13518.47
14.05,14,Kabupaten Pelalawan,13256.104
14.06,14,Kabupaten Rokan Hulu,7658.149
14.07,14,Kabupaten Rokan Hilir,9068.605
14.08,14,Kabupaten Siak,7803.566
14.09,14,Kabupaten Kuantan Singingi,5457.863
14.1,14,Kabupaten Kepulauan Meranti,3609.397
14.71,14,Kota Pekanbaru,638.331
14.72,14,Kota Dumai,2061.463
15.01,15,Kabupaten Kerinci,3445.196
15.02,15,Kabupaten Merangin,7540.118
15.03,15,Kabupaten Sarolangun,5935.894
15.04,15,Kabupaten Batanghari,5453.689
15.05,15,Kabupaten Muaro Jambi,5159.623
15.06,15,Kabupaten Tanjung Jabung Barat,5544.567
15.07,15,Kabupaten Tanjung Jabung Timur,4544.575
15.08,15,Kabupaten Bungo,4760.827
15.09,15,Kabupaten Tebo,6103.737
15.71,15,Kota Jambi,169.887
15.72,15,Kota Sungai Penuh,364.924
16.01,16,Kabupaten Ogan Komering Ulu,3774.497
16.02,16,Kabupaten Ogan Komering Ilir,17075.713
16.03,16,Kabupaten Muara Enim,6763.912
16.04,16,Kabupaten Lahat,4333.065
16.05,16,Kabupaten Musi Rawas,6122.588
16.06,16,Kabupaten Musi Banyuasin,14550.788
16.07,16,Kabupaten Banyuasin,12258.593
16.08,16,Kabupaten Ogan Komering Ulu Timur,3412.716
16.09,16,Kabupaten Ogan Komering Ulu Selatan,4369.252
16.10,16,Kabupaten Ogan Ilir,2302.858
16.11,16,Kabupaten Empat Lawang,2234.097
16.12,16,Kabupaten Penukal Abab Lematang Ilir,1842.563
16.13,16,Kabupaten Musi Rawas Utara,5937.803
16.71,16,Kota Palembang,352.523
16.72,16,Kota Pagar Alam,625.913
16.73,16,Kota Lubuk Linggau,367.726
16.74,16,Kota Prabumulih,447.311
17.01,17,Kabupaten Bengkulu Selatan,1219.063
17.02,17,Kabupaten Rejang Lebong,1559.419
17.03,17,Kabupaten Bengkulu Utara,4478.107
17.04,17,Kabupaten Kaur,2607.839
17.05,17,Kabupaten Seluma,2432.088
17.06,17,Kabupaten Mukomuko,4137.52
17.07,17,Kabupaten Lebong,1666.621
17.08,17,Kabupaten Kepahiang,738.965
17.09,17,Kabupaten Bengkulu Tengah,1132.405
17.71,17,Kota Bengkulu,150.183
18.01,18,Kabupaten Lampung Selatan,2227.357
18.02,18,Kabupaten Lampung Tengah,4559.57
18.03,18,Kabupaten Lampung Utara,2669.304
18.04,18,Kabupaten Lampung Barat,2110.101
18.05,18,Kabupaten Tulang Bawang,3118.613
18.06,18,Kabupaten Tanggamus,2947.187
18.07,18,Kabupaten Lampung Timur,3860.546
18.08,18,Kabupaten Way Kanan,3522.114
18.09,18,Kabupaten Pesawaran,1286.843
18.10,18,Kabupaten Pringsewu,617.192
18.11,18,Kabupaten Mesuji,2200.414
18.12,18,Kabupaten Tulang Bawang Barat,1257.088
18.13,18,Kabupaten Pesisir Barat,2937.496
