kode_kabupaten_kota,kode_provinsi,nama_kabupaten_kota,penduduk_pria,penduduk_wanita,penduduk_total
11.01,11,Kabupaten Aceh Selatan,120041,119588,239629
11.02,11,Kabupaten Aceh Tenggara,118140,117449,235589
11.03,11,Kabupaten Aceh Timur,232341,229050,461391
11.04,11,Kabupaten Aceh Tengah,117470,115136,232606
11.05,11,Kabupaten Aceh Barat,105470,103750,209220
11.06,11,Kabupaten Aceh Besar,221967,221020,442987
11.07,11,Kabupaten Pidie,222253,228823,451076
11.08,11,Kabupaten Aceh Utara,319278,321729,641007
11.09,11,Kabupaten Simeulue,49595,47217,96812
11.10,11,Kabupaten Aceh Singkil,70857,69604,140461
11.11,11,Kabupaten Bireuen,230892,237804,468696
11.12,11,Kabupaten Aceh Barat Daya,78693,77435,156128
11.13,11,Kabupaten Gayo Lues,54118,53388,107506
11.14,11,Kabupaten Aceh Jaya,51377,50030,101407
11.15,11,Kabupaten Nagan Raya,91321,89782,181103
11.16,11,Kabupaten Aceh Tamiang,157740,154321,312061
11.17,11,Kabupaten Bener Meriah,91798,89578,181376
11.18,11,Kabupaten Pidie Jaya,82520,83997,166517
11.71,11,Kota Banda Aceh,132249,133061,265310
11.72,11,Kota Sabang,21508,21285,42793
11.73,11,Kota Lhokseumawe,98717,99988,198705
11.74,11,Kota Langsa,92245,91669,183914
11.75,11,Kota Subulussalam,54470,52715,107185
12.01,12,Kabupaten Tapanuli Tengah,185732,183750,369482
12.02,12,Kabupaten Tapanuli Utara,164338,167137,331475
12.03,12,Kabupaten Tapanuli Selatan,163327,161238,324565
12.04,12,Kabupaten Nias,72364,75625,147989
12.05,12,Kabupaten Langkat,564266,556443,1120709
12.06,12,Kabupaten Karo,207909,214586,422495
12.07,12,Kabupaten Deli Serdang,1044298,1036110,2080408
12.08,12,Kabupaten Simalungun,502885,501418,1004303
12.09,12,Kabupaten Asahan,403875,395576,799451
12.10,12,Kabupaten Labuhanbatu,259760,253250,513010
12.11,12,Kabupaten Dairi,166297,167038,333335
12.12,12,Kabupaten Toba,109370,111138,220508
12.13,12,Kabupaten Mandailing Natal,250699,250919,501618
12.14,12,Kabupaten Nias Selatan,185317,184500,369817
12.15,12,Kabupaten Pakpak Bharat,28977,28303,57280
12.16,12,Kabupaten Humbang Hasundutan,105199,105823,211022
12.17,12,Kabupaten Samosir,74432,75443,149875
12.18,12,Kabupaten Serdang Bedagai,349969,346876,696845
12.19,12,Kabupaten Batu Bara,239864,234968,474832
12.20,12,Kabupaten Padang Lawas Utara,138480,135106,273586
12.21,12,Kabupaten Padang Lawas,136098,135176,271274
12.22,12,Kabupaten Labuhanbatu Selatan,169625,162834,332459
12.23,12,Kabupaten Labuhanbatu Utara,202100,197206,399306
12.24,12,Kabupaten Nias Utara,76180,77158,153338
12.25,12,Kabupaten Nias Barat,47472,50054,97526
12.71,12,Kota Medan,1263569,1282883,2546452
12.72,12,Kota Pematangsiantar,137836,141936,279772
12.73,12,Kota Sibolga,50556,49726,100282
12.74,12,Kota Tanjungbalai,95289,92650,187939
12.75,12,Kota Binjai,157385,158224,315609
12.76,12,Kota Tebing Tinggi,91715,92349,184064
12.77,12,Kota Padangsidimpuan,115723,116259,231982
12.78,12,Kota Gunungsitoli,67192,71105,138297
13.01,13,Kabupaten Pesisir Selatan,267507,266279,533786
13.02,13,Kabupaten Solok,207180,205895,413075
13.03,13,Kabupaten Sijunjung,124672,122651,247323
13.04,13,Kabupaten Tanah Datar,191513,191161,382674
13.05,13,Kabupaten Padang Pariaman,230615,227695,458310
13.06,13,Kabupaten Agam,267450,265804,533254
13.07,13,Kabupaten Lima Puluh Kota,200980,201808,402788
13.08,13,Kabupaten Pasaman,157676,156161,313837
13.09,13,Kabupaten Kepulauan Mentawai,50832,47005,97837
